date,close,open,high,low,amt,MA5,MA10,MA20,DIF,DEA,MACD,K,D,J,RSI,WR,WR1,BIAS1,BIAS2,BIAS3,PSY,PSYMA,CCI,ATR,BBI
20230313,"3,268.70","3,228.12","3,268.70","3,228.12",29.49,3268.644,3289.625,3282.1875,9.36,17.455,-16.19,34.18083825,47.10853202,8.325450687,52.839,64.633,64.633,-0.27,-0.5,-0.308,33.333,33.333,-94.66038964,34.9005,3275.784792
20230314,"3,245.31","3,261.92","3,262.00","3,216.99",31.99,3260.686,3286.195,3279.789,6.017,15.167,-18.3,30.28702688,41.50136364,7.858353353,50.232,77.501,77.501,-0.596,-1.157,-1.038,33.333,31.944,-115.7399534,36.759,3268.968292
20230315,"3,263.31","3,261.03","3,273.12","3,256.86",30.52,3256.698,3281.291,3278.93,4.766,13.087,-16.643,32.45797555,38.48690094,20.40012475,52.129,63.2,35.729,0.067,-0.622,-0.48,41.667,31.944,-43.54626701,37.067,3270.724792
20230316,"3,226.89","3,244.47","3,257.43","3,224.72",32.74,3246.858,3272.915,3277.823,0.826,10.635,-19.618,24.26040297,33.74473495,5.291738997,48.246,92.135,86.263,-0.764,-1.6,-1.548,33.333,31.944,-109.8164607,35.122,3263.517208
20230317,"3,250.55","3,245.26","3,279.92","3,240.16",34.3,3250.952,3265.131,3279.1495,-0.383,8.431,-17.629,25.06107847,30.85018279,13.48286984,50.734,73.338,46.671,0.095,-0.722,-0.784,33.333,33.333,-52.86417152,35.813,3261.933833
20230320,"3,234.91","3,253.93","3,267.99","3,231.65",39.25,3244.194,3256.419,3276.378,-2.574,6.23,-17.608,24.99562394,28.89866317,17.18954546,49.106,85.763,71.524,-0.412,-1.009,-1.188,33.333,34.722,-75.92879164,34.279,3257.497625
20230321,"3,255.65","3,240.84","3,256.00","3,237.89",30.18,3246.262,3253.474,3273.8345,-2.606,4.463,-14.138,34.54451336,30.78061324,42.07231362,51.27,46.358,38.567,0.294,-0.189,-0.523,33.333,34.722,-55.36881639,34.016,3257.19925
20230322,"3,265.75","3,263.41","3,279.39","3,255.74",29.08,3246.75,3251.724,3272.5645,-1.796,3.211,-10.015,48.85731475,36.80618041,72.95958344,52.3,32.344,25.67,0.5,0.265,-0.236,41.667,36.111,-3.561497791,34.1875,3257.827583
20230323,"3,286.65","3,258.78","3,286.65","3,252.99",30.61,3258.702,3252.78,3272.523,0.526,2.674,-4.296,65.9048765,46.50574577,104.703138,54.383,0,0,1.022,0.902,0.323,50,37.5,37.68559912,34.2665,3263.133667
20230324,"3,265.65","3,282.74","3,282.74","3,260.84",32.45,3261.722,3256.337,3272.4475,0.664,2.272,-3.215,67.22110917,53.4108669,94.8415937,52.002,30.146,38.182,0.178,0.303,-0.287,50,40.278,38.20561869,33.836,3265.196458
20230327,"3,251.40","3,261.82","3,261.82","3,229.70",33.79,3265.02,3254.607,3272.116,-0.372,1.743,-4.23,59.17437204,55.33203528,66.85904556,50.439,50.603,61.896,-0.264,-0.072,-0.653,50,43.056,-52.58602503,34.3905,3263.438792
